url,name,price,rating,reviews,description,asin,product_description,manufacturer
/gp/profile/amzn1.account.AE3KRARFYIYSFSCJ4J2O2CMRJ6ZA/ref=sxin_15?linkCode=oas&asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&cv_ct_pg=search&cv_ct_wn=osp-single-source-pecos-desktop&cv_ct_we=contributor-profile&pd_rd_w=qqOsl&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408:amzn1.sym.feb2b32b-0085-4665-973c-36b431684408&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=JA2Y06BG6MZ051CD5D37&pd_rd_wg=Z44vI&pd_rd_r=ea830110-b58b-4e27-a447-34888f9804a3&qid=1675407534&cv_ct_cx=bags,,₹312.62,3.8 out of 5 stars,,,,,
/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,,,,,
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹498,4.3 out of 5 stars,,,,"Computers & Accessories
            


             ›
         


                Accessories & Peripherals
            


             ›
         


                Laptop Accessories
            


             ›
         


                Bags & Sleeves
            


             ›
         


                 Laptop Backpacks",
/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,,,,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                Backpacks
            


             ›
         


                 Casual Backpacks",
/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,,,,,
/gp/bestsellers/luggage/2917442031/ref=sr_bs_7_2917442031_1,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,,,,,
/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,,,,,
/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8 out of 5 stars,,,,,
/s/ref=sxin_24_trfob?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=5f1uM&content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee:amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=JA2Y06BG6MZ051CD5D37&pd_rd_wg=Z44vI&pd_rd_r=ea830110-b58b-4e27-a447-34888f9804a3&qid=1675407534,,₹448,4.2 out of 5 stars,,,,,
/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B097NH6X4C,,₹448,4.2 out of 5 stars,,,,"Bags, Wallets and Luggage
            


             ›
         


                 Wallets, Card Cases & Money Organisers",
/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3,,₹448,4.0 out of 5 stars,,"Blue Tree Cute Kids Backpack Is A Perfect Backpack For Toddlers Or Kids Headed To Preschool, Daycare, Hiking, And Day Trips. This Bag Is Made Up Of High-Quality Finest Material Which Is Soft To Touch, Cute And Adorable, Perfect-Size For Little Ones, This Perfectly-Sized Zoo Pack Feature A Friendly Animal Face, Top Hanging Loop, Crafted Details. The Cartoon Backpack Is The Best Gift For Kids. Every Little Kid Wants Cute, Cool Animal Toddler Backpacks. Lovely Animals Attractive Design, Bright And Multi-Color. It Is Very Soft And Lightweight. The Super Lightweight Makes Your Kids Easy To Carry Around. The Padded Shoulder Straps Are Also Adjustable, Making Them Comfy For Little Shoulders.",,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                 School Bags & Sets",
/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF,,₹339,,,,,,
